Date : 2025-05-11 19:43:04
Directory : c:\Users\renren\Desktop\tonoreader\lib
Total : 225 files,  12054 codes, 911 comments, 1616 blanks, all 14581 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Users\renren\Desktop\tonoreader\lib\pages\detail\componets\detail_series.dart                             | Dart     |         62 |          0 |          5 |         67 |
| c:\Users\renren\Desktop\tonoreader\lib\pages\detail\componets\detail_statistics.dart                         | Dart     |         49 |          0 |          4 |         53 |
| c:\Users\renren\Desktop\tonoreader\lib\pages\detail\controller.dart                                          | Dart     |         23 |          0 |          2 |         25 |
| c:\Users\renren\Desktop\tonoreader\lib\pages\detail\view.dart                                                | Dart     |        158 |          0 |          9 |        167 |
| c:\Users\renren\Desktop\tonoreader\lib\pages\index\componets\parse_book_dialog.dart                          | Dart     |         78 |          0 |          3 |         81 |
| c:\Users\renren\Desktop\tonoreader\lib\pages\index\componets\salomon_botton_bar.dart                         | Dart     |        140 |         21 |         24 |        185 |
| c:\Users\renren\Desktop\tonoreader\lib\pages\index\controller.dart                                           | Dart     |          8 |          0 |          2 |         10 |
| c:\Users\renren\Desktop\tonoreader\lib\pages\index\feed\controller.dart                                      | Dart     |          0 |          0 |          3 |          3 |
| c:\Users\renren\Desktop\tonoreader\lib\pages\index\feed\view.dart                                            | Dart     |          8 |          0 |          3 |         11 |
| c:\Users\renren\Desktop\tonoreader\lib\pages\index\home\componets\book_info.dart                             | Dart     |         87 |          0 |          3 |         90 |
| c:\Users\renren\Desktop\tonoreader\lib\pages\index\home\componets\item_block.dart                            | Dart     |         52 |          0 |          6 |         58 |
| c:\Users\renren\Desktop\tonoreader\lib\pages\index\home\controller.dart                                      | Dart     |         21 |          0 |          2 |         23 |
| c:\Users\renren\Desktop\tonoreader\lib\pages\index\home\view.dart                                            | Dart     |        115 |          0 |          6 |        121 |
| c:\Users\renren\Desktop\tonoreader\lib\pages\index\shelf\controller.dart                                     | Dart     |         26 |          0 |          3 |         29 |
| c:\Users\renren\Desktop\tonoreader\lib\pages\index\shelf\subpage\collect\view.dart                           | Dart     |         10 |          0 |          3 |         13 |
| c:\Users\renren\Desktop\tonoreader\lib\pages\index\shelf\subpage\history\view.dart                           | Dart     |          8 |          0 |          3 |         11 |
| c:\Users\renren\Desktop\tonoreader\lib\pages\index\shelf\subpage\local\controller.dart                       | Dart     |         95 |          0 |          9 |        104 |
| c:\Users\renren\Desktop\tonoreader\lib\pages\index\shelf\subpage\local\view.dart                             | Dart     |         73 |          0 |          3 |         76 |
| c:\Users\renren\Desktop\tonoreader\lib\pages\index\shelf\view.dart                                           | Dart     |         37 |          0 |          3 |         40 |
| c:\Users\renren\Desktop\tonoreader\lib\pages\index\user\controller.dart                                      | Dart     |          0 |          0 |          1 |          1 |
| c:\Users\renren\Desktop\tonoreader\lib\pages\index\user\view.dart                                            | Dart     |         94 |          1 |          7 |        102 |
| c:\Users\renren\Desktop\tonoreader\lib\pages\index\view.dart                                                 | Dart     |         27 |          0 |          3 |         30 |
| c:\Users\renren\Desktop\tonoreader\lib\pages\login\controller.dart                                           | Dart     |          0 |          0 |          1 |          1 |
| c:\Users\renren\Desktop\tonoreader\lib\pages\login\view.dart                                                 | Dart     |          8 |          0 |          3 |         11 |
| c:\Users\renren\Desktop\tonoreader\lib\pages\reader\controller.dart                                          | Dart     |          5 |          0 |          2 |          7 |
| c:\Users\renren\Desktop\tonoreader\lib\pages\reader\view.dart                                                | Dart     |         15 |          0 |          3 |         18 |
| c:\Users\renren\Desktop\tonoreader\lib\pages\search_pre\controller.dart                                      | Dart     |          2 |          0 |          2 |          4 |
| c:\Users\renren\Desktop\tonoreader\lib\pages\search_pre\view.dart                                            | Dart     |         10 |          0 |          3 |         13 |
| c:\Users\renren\Desktop\tonoreader\lib\pages\test\controller.dart                                            | Dart     |         13 |          0 |          2 |         15 |
| c:\Users\renren\Desktop\tonoreader\lib\pages\test\view.dart                                                  | Dart     |         21 |          0 |          2 |         23 |
| c:\Users\renren\Desktop\tonoreader\lib\repo\converter.dart                                                   | Dart     |         45 |          0 |          8 |         53 |
| c:\Users\renren\Desktop\tonoreader\lib\repo\database.dart                                                    | Dart     |         14 |          0 |          3 |         17 |
| c:\Users\renren\Desktop\tonoreader\lib\repo\database.g.dart                                                  | Dart     |        148 |         14 |         33 |        195 |
| c:\Users\renren\Desktop\tonoreader\lib\routes\void_routers.dart                                              | Dart     |         36 |          0 |          2 |         38 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\config.dart                                               | Dart     |         60 |         10 |         19 |         89 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\controller.dart                                           | Dart     |         94 |          0 |         15 |        109 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\data_provider\local_data_provider.dart                    | Dart     |         54 |          0 |         10 |         64 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\data_provider\net_data_provider.dart                      | Dart     |          1 |          0 |          1 |          2 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\data_provider\tono_data_provider.dart                     | Dart     |          7 |          2 |          5 |         14 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\model\base\tono.dart                                      | Dart     |         42 |          5 |         10 |         57 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\model\base\tono_book_info.dart                            | Dart     |         40 |          0 |          5 |         45 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\model\base\tono_location.dart                             | Dart     |         58 |          0 |          9 |         67 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\model\base\tono_note.dart                                 | Dart     |         21 |          0 |          3 |         24 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\model\base\tono_type.dart                                 | Dart     |          1 |          0 |          1 |          2 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\model\config.dart                                         | Dart     |         13 |          8 |          6 |         27 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\model\event\tono_comment.dart                             | Dart     |         14 |          0 |          1 |         15 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\model\parser\tono_opf_parse_result.dart                   | Dart     |          1 |          0 |          1 |          2 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\model\parser\tono_selector_group.dart                     | Dart     |         25 |          0 |          3 |         28 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\model\parser\tono_selector_info.dart                      | Dart     |          8 |          0 |          3 |         11 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\model\parser\tono_selector_part.dart                      | Dart     |         25 |          0 |          1 |         26 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\model\parser\tono_style_sheet_block.dart                  | Dart     |          9 |          0 |          3 |         12 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\model\style\tono_border.dart                              | Dart     |          0 |          0 |          1 |          1 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\model\style\tono_border_style.dart                        | Dart     |          0 |          0 |          1 |          1 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\model\style\tono_font_family.dart                         | Dart     |          0 |          0 |          1 |          1 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\model\style\tono_font_size.dart                           | Dart     |          0 |          0 |          1 |          1 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\model\style\tono_font_weight.dart                         | Dart     |          0 |          0 |          1 |          1 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\model\style\tono_height.dart                              | Dart     |          0 |          0 |          1 |          1 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\model\style\tono_line_height.dart                         | Dart     |          0 |          0 |          1 |          1 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\model\style\tono_margin.dart                              | Dart     |          0 |          0 |          1 |          1 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\model\style\tono_padding.dart                             | Dart     |          0 |          0 |          1 |          1 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\model\style\tono_style.dart                               | Dart     |         27 |          4 |          8 |         39 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\model\style\tono_text_align.dart                          | Dart     |          0 |          0 |          1 |          1 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\model\widget\tono_container.dart                          | Dart     |         31 |          2 |          6 |         39 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\model\widget\tono_image.dart                              | Dart     |         22 |          0 |          4 |         26 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\model\widget\tono_ruby.dart                               | Dart     |         42 |          0 |          5 |         47 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\model\widget\tono_svg.dart                                | Dart     |         22 |          0 |          4 |         26 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\model\widget\tono_text.dart                               | Dart     |         30 |          0 |          6 |         36 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\model\widget\tono_widget.dart                             | Dart     |         37 |          0 |          5 |         42 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\parser\tono_bw_ncx_parser.dart                            | Dart     |         20 |          0 |          4 |         24 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\parser\tono_container_xml.dart                            | Dart     |         18 |          0 |          2 |         20 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\parser\tono_opf_parser.dart                               | Dart     |        121 |          0 |          7 |        128 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\parser\tono_parse_event.dart                              | Dart     |         10 |          0 |          1 |         11 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\parser\tono_parser.dart                                   | Dart     |         27 |          2 |          5 |         34 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\parser\tono_scrollable_window_parser.dart                 | Dart     |         23 |          0 |          3 |         26 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\parser\tono_selector_macher.dart                          | Dart     |        314 |          6 |         19 |        339 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\parser\tono_selector_parser.dart                          | Dart     |         96 |          7 |         18 |        121 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\parser\tono_style_parser.dart                             | Dart     |        289 |         37 |         34 |        360 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\parser\tono_widget_parser.dart                            | Dart     |         68 |          5 |          8 |         81 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\parser\widget_parser\container_parser.dart                | Dart     |         95 |          0 |          3 |         98 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\parser\widget_parser\img_parser.dart                      | Dart     |         24 |          0 |          2 |         26 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\parser\widget_parser\ruby_parser.dart                     | Dart     |         36 |          0 |          2 |         38 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\parser\widget_parser\svg_parser.dart                      | Dart     |         71 |          5 |         14 |         90 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_impl\tono_css_border_bgc.dart                  | Dart     |         28 |          6 |          3 |         37 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_impl\tono_css_display_widget.dart              | Dart     |         65 |          6 |          6 |         77 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_impl\tono_css_margin_widget.dart               | Dart     |         38 |          2 |          2 |         42 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_impl\tono_css_size_padding_widget.dart         | Dart     |        102 |          7 |          9 |        118 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_impl\tono_css_transform_widget.dart            | Dart     |         20 |          3 |          4 |         27 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_impl\tono_css_widget.dart                      | Dart     |         14 |          0 |          4 |         18 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_parse\tono_css_align_item.dart                 | Dart     |         16 |          2 |          2 |         20 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_parse\tono_css_background_color.dart           | Dart     |          9 |          0 |          2 |         11 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_parse\tono_css_background_image.dart           | Dart     |         12 |          0 |          2 |         14 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_parse\tono_css_background_position.dart        | Dart     |         41 |          0 |          2 |         43 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_parse\tono_css_background_size.dart            | Dart     |         65 |          0 |          4 |         69 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_parse\tono_css_border.dart                     | Dart     |         51 |          0 |          4 |         55 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_parse\tono_css_border_radius.dart              | Dart     |         10 |          0 |          2 |         12 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_parse\tono_css_box_shadow.dart                 | Dart     |         17 |          0 |          2 |         19 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_parse\tono_css_color.dart                      | Dart     |          7 |          0 |          3 |         10 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_parse\tono_css_converter.dart                  | Dart     |        263 |         39 |         63 |        365 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_parse\tono_css_display.dart                    | Dart     |         15 |          4 |          3 |         22 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_parse\tono_css_font_family.dart                | Dart     |         13 |          0 |          2 |         15 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_parse\tono_css_font_weight.dart                | Dart     |         31 |          0 |          3 |         34 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_parse\tono_css_height.dart                     | Dart     |         50 |         13 |         10 |         73 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_parse\tono_css_image_repet.dart                | Dart     |         12 |          0 |          2 |         14 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_parse\tono_css_justify_content.dart            | Dart     |         17 |          2 |          2 |         21 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_parse\tono_css_line_height.dart                | Dart     |         19 |          0 |          2 |         21 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_parse\tono_css_margin.dart                     | Dart     |         23 |          0 |          5 |         28 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_parse\tono_css_padding.dart                    | Dart     |         29 |          8 |          4 |         41 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_parse\tono_css_tansform.dart                   | Dart     |         26 |          3 |          3 |         32 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_parse\tono_css_text_align.dart                 | Dart     |         15 |          0 |          2 |         17 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_parse\tono_css_text_indent.dart                | Dart     |         14 |          0 |          2 |         16 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_parse\tono_css_text_shadow.dart                | Dart     |         16 |          0 |          3 |         19 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_parse\tono_css_transform_origin.dart           | Dart     |         21 |          2 |          2 |         25 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_parse\tono_css_width.dart                      | Dart     |         54 |         13 |         10 |         77 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\state\tono_container_provider.dart                 | Dart     |         54 |          0 |         11 |         65 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\state\tono_inline_state_provider.dart              | Dart     |         34 |          0 |          9 |         43 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\state\tono_interaction_provider.dart               | Dart     |         30 |          0 |          8 |         38 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\state\tono_layout_provider.dart                    | Dart     |         33 |          0 |          9 |         42 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\state\tono_location_provider.dart                  | Dart     |         31 |          0 |          8 |         39 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\state\tono_parent_size_cache.dart                  | Dart     |         14 |          0 |          5 |         19 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\widget\inline\tono_container_render.dart           | Dart     |         15 |          0 |          2 |         17 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\widget\inline\tono_image_render.dart               | Dart     |         75 |          0 |          7 |         82 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\widget\inline\tono_ruby_render.dart                | Dart     |         53 |          0 |          2 |         55 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\widget\inline\tono_svg_render.dart                 | Dart     |         40 |          0 |          5 |         45 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\widget\inline\tono_text_render.dart                | Dart     |         44 |          0 |          6 |         50 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\widget\tono_container_widget.dart                  | Dart     |         80 |          0 |          6 |         86 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\widget\tono_inline_container_widget.dart           | Dart     |         51 |          0 |          5 |         56 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\widget\tono_outer_widget.dart                      | Dart     |        174 |          8 |          9 |        191 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\state\tono_assets_provider.dart                           | Dart     |         15 |          0 |          3 |         18 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\state\tono_data_provider.dart                             | Dart     |         82 |          0 |          8 |         90 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\state\tono_flager.dart                                    | Dart     |          7 |          1 |          2 |         10 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\state\tono_initializer.dart                               | Dart     |         53 |          0 |          9 |         62 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\state\tono_left_drawer_controller.dart                    | Dart     |         43 |          0 |         10 |         53 |
